iter	MAE
0	1532.549984
1	1532.536637
2	1532.52412
3	1532.511401
4	1532.498844
5	1532.486271
6	1532.47347
7	1532.460551
8	1532.44794
9	1532.435162
10	1532.422101
11	1532.409088
12	1532.39624
13	1532.383571
14	1532.370211
15	1532.356741
16	1532.343261
17	1532.330294
18	1532.317184
19	1532.304157
20	1532.291246
21	1532.278399
22	1532.264874
23	1532.252075
24	1532.239469
25	1532.226852
26	1532.213126
27	1532.200103
28	1532.187534
29	1532.174749
30	1532.16234
31	1532.149396
32	1532.136236
33	1532.123304
34	1532.110457
35	1532.097324
36	1532.084534
37	1532.071872
38	1532.059122
39	1532.04625
40	1532.033824
41	1532.021022
42	1532.008032
43	1531.995279
44	1531.982377
45	1531.969607
46	1531.956684
47	1531.943527
48	1531.930837
49	1531.917634
50	1531.904821
51	1531.89189
52	1531.879242
53	1531.866034
54	1531.853368
55	1531.840608
56	1531.82748
57	1531.814497
58	1531.801552
59	1531.788961
60	1531.775988
61	1531.762585
62	1531.750135
63	1531.736706
64	1531.724298
65	1531.711602
66	1531.699209
67	1531.685876
68	1531.673226
69	1531.660742
70	1531.647514
71	1531.634578
72	1531.620833
73	1531.607679
74	1531.594893
75	1531.581477
76	1531.568436
77	1531.554965
78	1531.541776
79	1531.5283
80	1531.514982
81	1531.501785
82	1531.488093
83	1531.475159
84	1531.462263
85	1531.449378
86	1531.435893
87	1531.42247
88	1531.409934
89	1531.396272
90	1531.38353
91	1531.370528
92	1531.356937
93	1531.343178
94	1531.330363
95	1531.317538
96	1531.303984
97	1531.290402
98	1531.277597
99	1531.264876
100	1531.251966
101	1531.239028
102	1531.22548
103	1531.212592
104	1531.199877
105	1531.18707
106	1531.173577
107	1531.160364
108	1531.147613
109	1531.134259
110	1531.120751
111	1531.107456
112	1531.094618
113	1531.081182
114	1531.068626
115	1531.056348
116	1531.043646
117	1531.030212
118	1531.017664
119	1531.004705
120	1530.991727
121	1530.979113
122	1530.965578
123	1530.952302
124	1530.939085
125	1530.926013
126	1530.91326
127	1530.899624
128	1530.886779
129	1530.873686
130	1530.860911
131	1530.848833
132	1530.835302
133	1530.822929
134	1530.810238
135	1530.797519
136	1530.784912
137	1530.772096
138	1530.759254
139	1530.745292
140	1530.73245
141	1530.718813
142	1530.705809
143	1530.692867
144	1530.680115
145	1530.666512
146	1530.653907
147	1530.641243
148	1530.627941
149	1530.61459
150	1530.601286
151	1530.58839
152	1530.575977
153	1530.562455
154	1530.549338
155	1530.535956
156	1530.52324
157	1530.510455
158	1530.497788
159	1530.484344
160	1530.4713
161	1530.458083
162	1530.445639
163	1530.432502
164	1530.419762
165	1530.407381
166	1530.394535
167	1530.381078
168	1530.368111
169	1530.35562
170	1530.342481
171	1530.328906
172	1530.315382
173	1530.301596
174	1530.288484
175	1530.275942
176	1530.262646
177	1530.250132
178	1530.237407
179	1530.22511
180	1530.211564
181	1530.198707
182	1530.186211
183	1530.173468
184	1530.160333
185	1530.147463
186	1530.134069
187	1530.121058
188	1530.108274
189	1530.09525
190	1530.082161
191	1530.069726
192	1530.056206
193	1530.043456
194	1530.029712
195	1530.016801
196	1530.004353
197	1529.991647
198	1529.97819
199	1529.965684
200	1529.95292
201	1529.939173
202	1529.926428
203	1529.912921
204	1529.899993
205	1529.886491
206	1529.873539
207	1529.860838
208	1529.847717
209	1529.834116
210	1529.8215
211	1529.808334
212	1529.795736
213	1529.782884
214	1529.769989
215	1529.756409
216	1529.742659
217	1529.72932
218	1529.715346
219	1529.701941
220	1529.687965
221	1529.674646
222	1529.661182
223	1529.648005
224	1529.634481
225	1529.620936
226	1529.607966
227	1529.594298
228	1529.581074
229	1529.567879
230	1529.55537
231	1529.541934
232	1529.528789
233	1529.515459
234	1529.502642
235	1529.489747
236	1529.476035
237	1529.46236
238	1529.448951
239	1529.435117
240	1529.422079
241	1529.409149
242	1529.396248
243	1529.38247
244	1529.36926
245	1529.355708
246	1529.342133
247	1529.329247
248	1529.316007
249	1529.302598
250	1529.288962
251	1529.275203
252	1529.261697
253	1529.248319
254	1529.235412
255	1529.221781
256	1529.208203
257	1529.195224
258	1529.181791
259	1529.168183
260	1529.15456
261	1529.140993
262	1529.127695
263	1529.114165
264	1529.100919
265	1529.087108
266	1529.073339
267	1529.059943
268	1529.046297
269	1529.0334
270	1529.020105
271	1529.006498
272	1528.992756
273	1528.979286
274	1528.96539
275	1528.951646
276	1528.937761
277	1528.924158
278	1528.910243
279	1528.896862
280	1528.883324
281	1528.869476
282	1528.855624
283	1528.8418
284	1528.828033
285	1528.814201
286	1528.800331
287	1528.786388
288	1528.772657
289	1528.75903
290	1528.745271
291	1528.731411
292	1528.71759
293	1528.703632
294	1528.689945
295	1528.676106
296	1528.662358
297	1528.648501
298	1528.634607
299	1528.620682
300	1528.606686
301	1528.592734
302	1528.579186
303	1528.565887
304	1528.551966
305	1528.538239
306	1528.524299
307	1528.510311
308	1528.496549
309	1528.482627
310	1528.46877
311	1528.454974
312	1528.44109
313	1528.42704
314	1528.413291
315	1528.399406
316	1528.385393
317	1528.371503
318	1528.357421
319	1528.34344
320	1528.32958
321	1528.315663
322	1528.301638
323	1528.287517
324	1528.27362
325	1528.259618
326	1528.245511
327	1528.231486
328	1528.217563
329	1528.203624
330	1528.189789
331	1528.175799
332	1528.161754
333	1528.147719
334	1528.133921
335	1528.120033
336	1528.106049
337	1528.091952
338	1528.077813
339	1528.063596
340	1528.049468
341	1528.035483
342	1528.021431
343	1528.007473
344	1527.993484
345	1527.979574
346	1527.9656
347	1527.951479
348	1527.937497
349	1527.92364
350	1527.909526
351	1527.895403
352	1527.881315
353	1527.867262
354	1527.853113
355	1527.839046
356	1527.825068
357	1527.810992
358	1527.796867
359	1527.782848
360	1527.768904
361	1527.754739
362	1527.740715
363	1527.72698
364	1527.712896
365	1527.698964
366	1527.684913
367	1527.670919
368	1527.656787
369	1527.642949
370	1527.628929
371	1527.61498
372	1527.601005
373	1527.586972
374	1527.573057
375	1527.559012
376	1527.545032
377	1527.531071
378	1527.51716
379	1527.503026
380	1527.489005
381	1527.474993
382	1527.461262
383	1527.447427
384	1527.433564
385	1527.419509
386	1527.405442
387	1527.391516
388	1527.377612
389	1527.36359
390	1527.349567
391	1527.335452
392	1527.321485
393	1527.307573
394	1527.293838
395	1527.280037
396	1527.266213
397	1527.252452
398	1527.238607
399	1527.224649
400	1527.210946
401	1527.197198
402	1527.183238
403	1527.169476
404	1527.155622
405	1527.141725
406	1527.127975
407	1527.114168
408	1527.100387
409	1527.086504
410	1527.07263
411	1527.058813
412	1527.045002
413	1527.031188
414	1527.017401
415	1527.003825
416	1526.990044
417	1526.976228
418	1526.962532
419	1526.948782
420	1526.934944
421	1526.921255
422	1526.907569
423	1526.893697
424	1526.879984
425	1526.866146
426	1526.852459
427	1526.838815
428	1526.824957
429	1526.811264
430	1526.797582
431	1526.783928
432	1526.770102
433	1526.756499
434	1526.74266
435	1526.728888
436	1526.715059
437	1526.701328
438	1526.687687
439	1526.67394
440	1526.660178
441	1526.64629
442	1526.632604
443	1526.618897
444	1526.605036
445	1526.591394
446	1526.577553
447	1526.563753
448	1526.549937
449	1526.536122
450	1526.522511
451	1526.508701
452	1526.495047
453	1526.481229
454	1526.467476
455	1526.453694
456	1526.439945
457	1526.426151
458	1526.412344
459	1526.398558
460	1526.38477
461	1526.371017
462	1526.35721
463	1526.343411
464	1526.329535
465	1526.315825
466	1526.302094
467	1526.288465
468	1526.274733
469	1526.260996
470	1526.247302
471	1526.233451
472	1526.219893
473	1526.206126
474	1526.192354
475	1526.178548
476	1526.164868
477	1526.151067
