iter	Passed	Remaining
0	14	296769
1	29	293731
2	44	295320
3	58	292422
4	72	290128
5	87	291555
6	101	291055
7	116	290230
8	130	289677
9	144	288945
10	158	288089
11	172	287925
12	189	291226
13	203	291031
14	218	291534
15	232	290944
16	247	290506
17	261	290061
18	275	289553
19	290	290109
20	304	289981
21	318	289470
22	333	289263
23	347	289095
24	361	288740
25	376	288926
26	390	288703
27	404	288597
28	419	288850
29	433	288624
30	448	288609
31	462	288753
32	477	288615
33	491	288575
34	505	288409
35	520	288381
36	534	288279
37	548	288393
38	563	288467
39	578	288454
40	592	288427
41	607	288585
42	622	288780
43	636	288902
44	652	289163
45	667	289521
46	682	289586
47	696	289618
48	711	289538
49	725	289650
50	740	289783
51	755	289777
52	771	290290
53	785	290293
54	800	290163
55	814	290119
56	828	289933
57	843	289867
58	857	289848
59	871	289713
60	885	289553
61	900	289459
62	915	289580
63	931	290121
64	945	289921
65	959	289905
66	973	289679
67	988	289635
68	1008	291226
69	1022	291246
70	1036	291038
71	1051	291131
72	1066	291241
73	1081	291276
74	1096	291292
75	1110	291189
76	1125	291234
77	1140	291179
78	1154	291117
79	1168	290886
80	1182	290814
81	1196	290534
82	1211	290616
83	1224	290382
84	1238	290257
85	1252	290126
86	1267	290073
87	1281	289969
88	1296	289964
89	1311	290034
90	1325	289966
91	1339	289901
92	1354	289836
93	1367	289643
94	1381	289558
95	1396	289514
96	1410	289363
97	1424	289386
98	1439	289311
99	1453	289207
100	1467	289123
101	1481	289062
102	1495	288964
103	1510	288971
104	1524	288949
105	1539	288900
106	1554	289026
107	1569	289019
108	1584	289076
109	1598	289116
110	1615	289437
111	1629	289377
112	1644	289389
113	1658	289339
114	1672	289271
115	1687	289195
116	1701	289154
117	1715	288993
118	1729	288868
119	1743	288784
120	1761	289387
121	1777	289578
122	1791	289518
123	1804	289317
124	1819	289332
125	1834	289328
126	1848	289293
127	1862	289210
128	1876	289052
129	1890	288939
130	1905	288952
131	1919	288967
132	1933	288822
133	1947	288731
134	1961	288631
135	1975	288546
136	1990	288620
137	2004	288528
138	2019	288494
139	2033	288408
140	2046	288301
141	2060	288184
142	2074	288081
143	2088	288039
144	2102	287913
145	2116	287835
146	2131	287836
147	2145	287823
148	2159	287767
149	2174	287747
150	2189	287782
151	2203	287703
152	2216	287565
153	2231	287510
154	2244	287401
155	2258	287288
156	2272	287207
157	2286	287100
158	2300	287054
159	2314	286977
160	2327	286859
161	2342	286875
162	2356	286842
163	2370	286743
164	2385	286727
165	2398	286607
166	2412	286490
167	2426	286407
168	2440	286342
169	2453	286236
170	2467	286169
171	2481	286105
172	2496	286066
173	2509	285958
174	2523	285855
175	2537	285822
176	2551	285778
177	2565	285703
178	2579	285616
179	2592	285502
180	2606	285436
181	2620	285384
182	2634	285326
183	2648	285201
184	2662	285171
185	2676	285135
186	2690	285098
187	2705	285067
188	2718	284995
189	2732	284886
190	2746	284852
191	2763	285134
192	2777	285030
193	2791	284941
194	2804	284865
195	2818	284766
196	2831	284653
197	2846	284698
198	2865	285081
199	2878	285011
200	2892	284885
201	2906	284857
202	2920	284784
203	2934	284731
204	2948	284722
205	2963	284722
206	2977	284737
207	2991	284637
208	2999	283989
209	3013	283952
210	3027	283904
211	3041	283885
212	3055	283829
213	3069	283762
214	3083	283732
215	3097	283728
216	3112	283728
217	3126	283704
218	3140	283698
219	3154	283661
220	3169	283692
221	3183	283658
222	3197	283589
223	3211	283510
224	3225	283474
225	3239	283419
226	3253	283368
227	3267	283378
228	3281	283316
229	3295	283239
230	3308	283180
231	3322	283125
