"","metric_name","cluster_num","window","overlap","dist","metric_value"
"1","Sil","3","120","0.25","dtw_basic",0.4806122449449
"2","SF","3","120","0.25","dtw_basic",0
"3","CH","3","120","0.25","dtw_basic",14667.2387647502
"4","DB","3","120","0.25","dtw_basic",0.53062173652643
"5","DBstar","3","120","0.25","dtw_basic",0.577851733529742
"6","D","3","120","0.25","dtw_basic",0.00148975791433891
"7","COP","3","120","0.25","dtw_basic",0.103734437594468
"8","Sil","4","120","0.25","dtw_basic",0.386964596839439
"9","SF","4","120","0.25","dtw_basic",0
"10","CH","4","120","0.25","dtw_basic",11607.1699631327
"11","DB","4","120","0.25","dtw_basic",0.66942039468891
"12","DBstar","4","120","0.25","dtw_basic",0.975305131775514
"13","D","4","120","0.25","dtw_basic",0.00074878322725571
"14","COP","4","120","0.25","dtw_basic",0.0865636265571397
"15","Sil","5","120","0.25","dtw_basic",0.35326238520911
"16","SF","5","120","0.25","dtw_basic",0
"17","CH","5","120","0.25","dtw_basic",10154.5407897766
"18","DB","5","120","0.25","dtw_basic",0.712667690389663
"19","DBstar","5","120","0.25","dtw_basic",1.14484214180199
"20","D","5","120","0.25","dtw_basic",0.00114068441064638
"21","COP","5","120","0.25","dtw_basic",0.0745542166406975
"22","Sil","6","120","0.25","dtw_basic",0.358295543668733
"23","SF","6","120","0.25","dtw_basic",0
"24","CH","6","120","0.25","dtw_basic",8953.35596550454
"25","DB","6","120","0.25","dtw_basic",0.691496471404179
"26","DBstar","6","120","0.25","dtw_basic",0.980771186626302
"27","D","6","120","0.25","dtw_basic",0.00134952766531714
"28","COP","6","120","0.25","dtw_basic",0.0549114019037502
"29","Sil","7","120","0.25","dtw_basic",0.323240151910484
"30","SF","7","120","0.25","dtw_basic",0
"31","CH","7","120","0.25","dtw_basic",8297.88081405443
"32","DB","7","120","0.25","dtw_basic",0.721862434397749
"33","DBstar","7","120","0.25","dtw_basic",1.17476319205379
"34","D","7","120","0.25","dtw_basic",0.000825423029302518
"35","COP","7","120","0.25","dtw_basic",0.0592367970341025
"36","Sil","3","120","0.5","dtw_basic",0.459383309523771
"37","SF","3","120","0.5","dtw_basic",0
"38","CH","3","120","0.5","dtw_basic",20875.8103162632
"39","DB","3","120","0.5","dtw_basic",0.56125688252058
"40","DBstar","3","120","0.5","dtw_basic",0.691156563443625
"41","D","3","120","0.5","dtw_basic",0.00106951871657754
"42","COP","3","120","0.5","dtw_basic",0.117520866629361
"43","Sil","4","120","0.5","dtw_basic",0.40844331017364
"44","SF","4","120","0.5","dtw_basic",0
"45","CH","4","120","0.5","dtw_basic",17274.0972270405
"46","DB","4","120","0.5","dtw_basic",0.672529504460342
"47","DBstar","4","120","0.5","dtw_basic",0.841899876198872
"48","D","4","120","0.5","dtw_basic",0.000379506641366223
"49","COP","4","120","0.5","dtw_basic",0.0814625949800641
"50","Sil","5","120","0.5","dtw_basic",0.367030402243469
"51","SF","5","120","0.5","dtw_basic",0
"52","CH","5","120","0.5","dtw_basic",15469.4710034711
"53","DB","5","120","0.5","dtw_basic",0.619961780553018
"54","DBstar","5","120","0.5","dtw_basic",0.931322436933511
"55","D","5","120","0.5","dtw_basic",0.00117416829745596
"56","COP","5","120","0.5","dtw_basic",0.0699526878300761
"57","Sil","6","120","0.5","dtw_basic",0.336939633648383
"58","SF","6","120","0.5","dtw_basic",0
"59","CH","6","120","0.5","dtw_basic",13488.5863624125
"60","DB","6","120","0.5","dtw_basic",0.759312071666187
