label,cluster_3,cluster_3
1,2,1375
1,1,558
1,0,120
2,1,860
2,2,633
2,0,104
3,1,3303
3,2,2410
3,0,293
4,2,476
4,1,312
4,0,96
5,1,453
5,2,303
5,0,17
6,1,314
6,2,195
6,0,17
7,2,607
7,1,249
7,0,81
8,1,448
8,2,35
9,1,1152
9,2,881
9,0,120
10,1,449
10,2,196
10,0,17
11,1,625
11,2,137
11,0,12
12,1,147
12,2,103
12,0,21
13,1,525
13,2,210
13,0,9
14,1,356
14,2,214
14,0,30
15,1,856
15,2,116
16,1,737
16,2,122
17,1,1115
17,2,867
17,0,196
18,1,234
18,2,90
18,0,13
19,1,997
19,2,1
20,1,638
20,2,307
20,0,7
21,2,497
21,1,438
21,0,27
22,1,219
22,2,129
22,0,24
23,1,1888
23,2,655
23,0,19
24,1,167
24,2,127
24,0,18
25,2,674
25,1,548
25,0,178
26,1,2806
26,2,1964
26,0,230
27,2,1127
27,1,989
27,0,334
28,2,906
28,1,655
28,0,76
29,2,1753
29,0,1218
29,1,515
30,1,168
30,2,69
30,0,1
31,2,950
31,1,803
31,0,756
32,2,2450
32,1,2130
32,0,241
33,1,172
33,2,119
33,0,16
34,1,4689
34,2,177
35,2,1784
35,1,1718
35,0,210
36,1,219
36,2,214
36,0,122
37,1,463
37,2,217
37,0,17
38,2,397
38,1,352
38,0,47
39,2,635
39,1,595
39,0,108
40,1,1498
40,2,650
40,0,73
41,2,860
41,1,684
41,0,451
42,1,943
42,2,841
42,0,23
43,2,721
43,1,468
43,0,181
44,1,243
44,0,103
44,2,102
45,1,419
45,2,181
45,0,29
46,2,3322
46,1,1010
46,0,910
47,1,406
47,2,28
48,2,1802
48,1,1717
48,0,333
49,1,92
49,2,3
50,0,912
50,2,416
50,1,136
51,2,906
51,1,655
51,0,76
52,1,1633
52,2,1006
52,0,108
53,1,466
53,2,214
53,0,12
54,1,391
54,2,220
54,0,20
55,1,383
55,2,260
55,0,6
56,1,1702
56,2,656
56,0,7
57,2,128
57,1,97
57,0,4
58,2,567
58,1,246
58,0,93
59,1,430
59,2,377
59,0,208
60,1,2895
60,2,2054
60,0,216
61,2,603
61,1,373
61,0,118
62,1,920
62,2,635
62,0,139
63,1,631
63,2,183
63,0,1
64,1,83
64,2,56
64,0,2
65,1,335
65,2,313
65,0,44
66,2,1055
66,1,702
66,0,289
67,2,4152
67,0,2986
67,1,2291
68,2,360
68,1,272
68,0,171
69,2,1266
69,1,341
69,0,90
70,1,780
70,2,40
71,1,631
71,2,280
71,0,13
72,1,397
72,2,334
72,0,37
73,1,258
73,2,185
73,0,27
74,1,1554
74,2,410
74,0,22
75,2,143
75,1,110
75,0,71
76,1,249
76,2,33
77,1,1059
77,2,574
77,0,15
78,2,576
78,1,180
78,0,128
79,1,631
79,2,495
79,0,60
80,1,409
80,2,363
80,0,11
81,1,99
81,2,85
81,0,3
82,2,1099
82,1,1025
82,0,220
83,2,550
83,1,201
83,0,185
84,2,29
84,1,16
84,0,8
85,1,547
85,2,535
85,0,251
86,1,618
86,2,561
86,0,54
87,1,4689
87,2,1770
87,0,51
88,2,646
88,1,594
88,0,147
89,2,617
89,0,489
89,1,267
90,1,233
90,2,219
90,0,44
91,1,606
91,2,242
91,0,27
92,1,756
92,2,187
92,0,5
93,1,112
93,2,47
94,1,1051
94,2,207
95,0,1021
95,2,755
95,1,411
96,0,2476
96,2,502
96,1,159
97,1,2330
97,2,1143
97,0,148
98,1,740
98,2,27
99,2,1039
99,1,554
99,0,72
100,2,335
100,0,291
100,1,128
101,0,1602
101,2,476
101,1,185
102,2,637
102,0,412
102,1,233
103,2,834
103,1,752
103,0,247
104,2,730
104,1,551
104,0,299
105,1,524
105,2,311
105,0,53
106,2,664
106,1,660
106,0,173
107,2,118
107,1,80
107,0,57
108,1,333
108,2,54
108,0,4
109,0,1367
109,2,1330
109,1,334
110,1,1177
110,2,1087
110,0,157
111,1,517
111,2,333
111,0,70
112,2,1402
112,1,1357
112,0,1173
113,2,1491
113,1,610
113,0,479
114,1,6
114,2,3
115,2,168
115,0,109
115,1,94
116,1,1789
116,2,1306
116,0,391
117,1,460
117,2,415
117,0,95
118,2,842
118,1,830
118,0,96
119,1,441
119,2,255
119,0,37
120,1,537
120,2,248
120,0,20
121,0,746
121,2,397
121,1,133
122,1,2819
122,2,542
122,0,9
123,1,1140
123,2,971
123,0,395
124,1,428
124,2,333
124,0,39
125,1,428
125,2,424
125,0,86
126,1,582
126,2,566
126,0,142
127,2,887
127,0,591
127,1,397
128,1,2165
128,2,880
128,0,46
129,1,807
129,2,697
129,0,226
130,1,80
130,2,76
130,0,21
