,0
0,2018-02-14 18:48:00
1,2018-02-14 19:03:00
2,2018-02-14 19:18:00
3,2018-02-14 19:33:00
4,2018-02-14 19:48:00
5,2018-02-14 20:03:00
6,2018-02-14 20:18:00
7,2018-02-14 19:20:00
8,2018-02-14 19:35:00
9,2018-02-14 19:50:00
10,2018-02-14 20:05:00
11,2018-02-14 20:20:00
12,2018-02-14 20:35:00
13,2018-02-14 20:50:00
14,2018-02-14 20:05:00
15,2018-02-14 20:20:00
16,2018-02-14 20:35:00
17,2018-02-14 20:50:00
18,2018-02-14 21:05:00
19,2018-02-14 21:20:00
20,2018-02-14 21:35:00
21,2018-02-14 20:48:00
22,2018-02-14 21:03:00
23,2018-02-14 21:18:00
24,2018-02-14 21:33:00
25,2018-02-14 21:48:00
26,2018-02-14 22:03:00
27,2018-02-14 22:18:00
28,2018-02-15 01:07:00
29,2018-02-15 01:22:00
30,2018-02-15 01:37:00
31,2018-02-15 01:52:00
32,2018-02-15 02:07:00
33,2018-02-15 02:22:00
34,2018-02-15 02:37:00
35,2018-02-15 06:39:00
36,2018-02-15 06:54:00
37,2018-02-15 07:09:00
38,2018-02-15 07:24:00
39,2018-02-15 07:39:00
40,2018-02-15 07:54:00
41,2018-02-15 08:09:00
42,2018-02-15 07:39:00
43,2018-02-15 07:54:00
44,2018-02-15 08:09:00
45,2018-02-15 08:24:00
46,2018-02-15 08:39:00
47,2018-02-15 08:54:00
48,2018-02-15 09:09:00
49,2018-02-15 09:09:00
50,2018-02-15 09:24:00
51,2018-02-15 09:39:00
52,2018-02-15 09:54:00
53,2018-02-15 10:09:00
54,2018-02-15 10:24:00
55,2018-02-15 10:39:00
56,2018-02-15 12:55:00
57,2018-02-15 13:10:00
58,2018-02-15 13:25:00
59,2018-02-15 13:40:00
60,2018-02-15 13:55:00
61,2018-02-15 14:10:00
62,2018-02-15 14:25:00
63,2018-02-15 16:56:00
64,2018-02-15 17:11:00
65,2018-02-15 17:26:00
66,2018-02-15 17:41:00
67,2018-02-15 17:56:00
68,2018-02-15 18:11:00
69,2018-02-15 18:26:00
70,2018-02-15 19:27:00
71,2018-02-15 19:42:00
72,2018-02-15 19:57:00
73,2018-02-15 20:12:00
74,2018-02-15 20:27:00
75,2018-02-15 20:42:00
76,2018-02-15 20:57:00
77,2018-02-15 20:27:00
78,2018-02-15 20:42:00
79,2018-02-15 20:57:00
80,2018-02-15 21:12:00
